Seedling_ID,ID2,Elev,Genotype,Micro,Needle_age,Prev_trmt,Trmt_2,Measurement,Date,Time,Fo,Fv,Fm,Fv/Fm,Fv/Fo
19,a,low,h,inoc,new,high,heat,4,Jul/05/2025,12:32:54,263,163,426,0.382,0.619
19,b,low,h,inoc,old,high,heat,4,Jul/05/2025,12:33:05,182,199,381,0.522,1.093
20,a,high,g,uninoc,old,mod,heat,4,Jul/05/2025,12:33:15,238,471,709,0.664,1.978
20,b,high,g,uninoc,old,mod,heat,4,Jul/05/2025,12:33:24,114,200,314,0.636,1.754
21,a,high,h,uninoc,old,mod,heat,4,Jul/05/2025,12:33:42,179,370,549,0.673,2.067
21,b,high,h,uninoc,old,mod,heat,4,Jul/05/2025,12:33:50,373,492,865,0.568,1.319
22,a,high,h,inoc,new,mod,heat,4,Jul/05/2025,12:33:59,242,232,474,0.489,0.958
22,b,high,h,inoc,old,mod,heat,4,Jul/05/2025,12:34:09,493,508,1001,0.507,1.03
23,a,high,j,uninoc,new,mod,heat,4,Jul/05/2025,12:34:21,332,389,721,0.539,1.171
23,b,high,j,uninoc,old,mod,heat,4,Jul/05/2025,12:34:32,263,766,1029,0.744,2.912
24,a,high,i,inoc,new,mod,heat,4,Jul/05/2025,12:34:43,527,520,1047,0.496,0.986
24,b,high,i,inoc,new,mod,heat,4,Jul/05/2025,12:34:55,228,688,916,0.751,3.017
25,a,high,h,uninoc,new,mod,heat,4,Jul/05/2025,12:35:03,404,351,755,0.464,0.868
25,b,high,h,uninoc,old,mod,heat,4,Jul/05/2025,12:35:12,105,167,272,0.613,1.59
26,a,low,k,uninoc,new,mod,heat,4,Jul/05/2025,12:35:24,346,440,786,0.559,1.271
26,b,low,k,uninoc,old,mod,heat,4,Jul/05/2025,12:35:33,91,178,269,0.661,1.956
27,a,high,i,uninoc,new,mod,heat,4,Jul/05/2025,12:35:45,277,255,532,0.479,0.92
27,b,high,i,uninoc,old,mod,heat,4,Jul/05/2025,12:35:54,319,629,948,0.663,1.971
28,a,low,k,inoc,new,mod,heat,4,Jul/05/2025,12:36:04,225,231,456,0.506,1.026
28,b,low,k,inoc,old,mod,heat,4,Jul/05/2025,12:36:13,386,355,741,0.479,0.919
48,a,low,k,uninoc,new,control,heat,4,Jul/05/2025,12:36:23,457,111,568,0.195,0.242
48,b,low,k,uninoc,old,control,heat,4,Jul/05/2025,12:36:34,236,536,772,0.694,2.271
49,a,low,k,inoc,new,control,heat,4,Jul/05/2025,12:36:44,64,49,113,0.433,0.765
49,b,low,k,inoc,old,control,heat,4,Jul/05/2025,12:36:59,270,312,582,0.536,1.155
50,a,low,k,uninoc,new,control,heat,4,Jul/05/2025,12:37:11,289,164,453,0.362,0.567
50,b,low,k,uninoc,old,control,heat,4,Jul/05/2025,12:37:29,105,102,207,0.492,0.971
51,a,high,i,inoc,new,control,heat,4,Jul/05/2025,12:37:51,348,403,751,0.536,1.158
51,b,high,i,inoc,old,control,heat,4,Jul/05/2025,12:38:02,175,499,674,0.74,2.851
52,a,low,k,uninoc,old,control,heat,4,Jul/05/2025,12:38:14,381,535,916,0.584,1.404
52,b,low,k,uninoc,old,control,heat,4,Jul/05/2025,12:38:23,223,621,844,0.735,2.784
53,a,low,k,uninoc,new,control,heat,4,Jul/05/2025,12:38:36,111,84,195,0.43,0.756
53,b,low,k,uninoc,old,control,heat,4,Jul/05/2025,12:38:46,155,409,564,0.725,2.638
54,a,high,g,uninoc,new,control,heat,4,Jul/05/2025,12:38:56,160,83,243,0.341,0.518
54,b,high,g,uninoc,old,control,heat,4,Jul/05/2025,12:39:09,239,255,494,0.516,1.066
55,a,high,h,uninoc,new,control,heat,4,Jul/05/2025,12:39:21,434,21,455,0.046,0.048
55,b,high,h,uninoc,old,control,heat,4,Jul/05/2025,12:39:37,396,647,1043,0.62,1.633
56,a,low,m,inoc,old,control,heat,4,Jul/05/2025,12:39:48,246,375,621,0.603,1.524
56,b,low,m,inoc,old,control,heat,4,Jul/05/2025,12:39:58,201,414,615,0.673,2.059
57,a,high,g,uninoc,old,control,heat,4,Jul/05/2025,12:40:07,347,356,703,0.506,1.025
57,b,high,g,uninoc,old,control,heat,4,Jul/05/2025,12:40:17,253,292,545,0.535,1.154
11,a,high,j,uninoc,new,high,heat,5,Jul/05/2025,13:28:59,318,460,778,0.591,1.446
11,b,high,j,uninoc,old,high,heat,5,Jul/05/2025,13:29:14,202,341,543,0.627,1.688
12,a,low,k,inoc,new,high,heat,5,Jul/05/2025,13:29:24,290,107,397,0.269,0.368
12,b,low,k,inoc,old,high,heat,5,Jul/05/2025,13:30:09,104,70,174,0.402,0.673
13,a,low,k,uninoc,new,high,heat,5,Jul/05/2025,13:30:19,251,485,736,0.658,1.932
13,b,low,k,uninoc,old,high,heat,5,Jul/05/2025,13:30:27,265,414,679,0.609,1.562
14,a,low,k,inoc,new,high,heat,5,Jul/05/2025,13:30:35,477,320,797,0.401,0.67
14,b,low,k,inoc,old,high,heat,5,Jul/05/2025,13:30:45,222,284,506,0.561,1.279
15,a,low,k,uninoc,new,high,heat,5,Jul/05/2025,13:30:54,271,104,375,0.277,0.383
15,b,low,k,uninoc,old,high,heat,5,Jul/05/2025,13:31:03,105,195,300,0.65,1.857
16,a,high,i,inoc,new,high,heat,5,Jul/05/2025,13:31:15,270,519,789,0.657,1.922
16,b,high,i,inoc,old,high,heat,5,Jul/05/2025,13:31:31,98,185,283,0.653,1.887
17,a,low,k,uninoc,new,high,heat,5,Jul/05/2025,13:31:43,293,57,350,0.162,0.194
17,b,low,k,uninoc,old,high,heat,5,Jul/05/2025,13:31:53,364,226,590,0.383,0.62
18,a,high,g,uninoc,new,high,heat,5,Jul/05/2025,13:32:02,113,161,274,0.587,1.424
18,b,high,g,uninoc,old,high,heat,5,Jul/05/2025,13:32:21,232,414,646,0.64,1.784
19,a,low,h,inoc,new,high,heat,5,Jul/05/2025,13:32:36,300,66,366,0.18,0.22
19,b,low,h,inoc,old,high,heat,5,Jul/05/2025,13:32:52,207,115,322,0.357,0.555
20,a,high,g,uninoc,old,mod,heat,5,Jul/05/2025,13:33:02,281,323,604,0.534,1.149
20,b,high,g,uninoc,old,mod,heat,5,Jul/05/2025,13:33:10,131,192,323,0.594,1.465
21,a,high,h,uninoc,old,mod,heat,5,Jul/05/2025,13:33:19,547,333,880,0.378,0.608
21,b,high,h,uninoc,old,mod,heat,5,Jul/05/2025,13:33:28,242,261,503,0.518,1.078
22,a,high,h,inoc,new,mod,heat,5,Jul/05/2025,13:33:37,349,116,465,0.249,0.332
22,b,high,h,inoc,old,mod,heat,5,Jul/05/2025,13:33:48,764,253,1017,0.248,0.331
23,a,high,j,uninoc,new,mod,heat,5,Jul/05/2025,13:34:00,384,173,557,0.31,0.45
23,b,high,j,uninoc,old,mod,heat,5,Jul/05/2025,13:34:10,312,501,813,0.616,1.605
24,a,high,i,inoc,new,mod,heat,5,Jul/05/2025,13:34:20,731,202,933,0.216,0.276
24,b,high,i,inoc,new,mod,heat,5,Jul/05/2025,13:34:29,278,590,868,0.679,2.122
25,a,high,h,uninoc,new,mod,heat,5,Jul/05/2025,13:34:37,426,182,608,0.299,0.427
25,b,high,h,uninoc,old,mod,heat,5,Jul/05/2025,13:34:48,107,109,216,0.504,1.018
26,a,low,k,uninoc,new,mod,heat,5,Jul/05/2025,13:34:57,115,72,187,0.385,0.626
26,b,low,k,uninoc,old,mod,heat,5,Jul/05/2025,13:35:05,126,140,266,0.526,1.111
27,a,high,i,uninoc,new,mod,heat,5,Jul/05/2025,13:35:21,366,129,495,0.26,0.352
27,b,high,i,uninoc,old,mod,heat,5,Jul/05/2025,13:35:29,367,540,907,0.595,1.471
28,a,low,k,inoc,new,mod,heat,5,Jul/05/2025,13:35:38,305,159,464,0.342,0.521
28,b,low,k,inoc,old,mod,heat,5,Jul/05/2025,13:35:46,471,211,682,0.309,0.447
48,a,low,k,uninoc,new,control,heat,5,Jul/05/2025,13:35:56,510,19,529,0.035,0.037
48,b,low,k,uninoc,old,control,heat,5,Jul/05/2025,13:36:09,256,389,645,0.603,1.519
49,a,low,k,inoc,new,control,heat,5,Jul/05/2025,13:36:21,328,230,558,0.412,0.701
